y_true_class, y_pred_class, y_pred_cont
2.000000000000000000e+00,2.000000000000000000e+00,2.137366499999999942e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
4.000000000000000000e+00,3.000000000000000000e+00,2.793134642857142608e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.137366499999999942e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.793134642857142608e+05
0.000000000000000000e+00,0.000000000000000000e+00,9.021854807692307804e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
0.000000000000000000e+00,0.000000000000000000e+00,9.021854807692307804e+04
1.000000000000000000e+00,0.000000000000000000e+00,9.021854807692307804e+04
2.000000000000000000e+00,2.000000000000000000e+00,2.137366499999999942e+05
0.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.793134642857142608e+05
2.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
0.000000000000000000e+00,0.000000000000000000e+00,9.021854807692307804e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.793134642857142608e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.137366499999999942e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.793134642857142608e+05
8.000000000000000000e+00,7.000000000000000000e+00,5.563175000000000000e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.137366499999999942e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
2.000000000000000000e+00,0.000000000000000000e+00,9.021854807692307804e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.793134642857142608e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.137366499999999942e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.137366499999999942e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.793134642857142608e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.434735474860335235e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.793134642857142608e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.137366499999999942e+05
