y_true_class, y_pred_class, y_pred_cont
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.004028912466843479e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
0.000000000000000000e+00,0.000000000000000000e+00,7.630417721518986696e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
7.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
1.000000000000000000e+00,0.000000000000000000e+00,7.630417721518986696e+01
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
1.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
1.000000000000000000e+00,0.000000000000000000e+00,7.630417721518986696e+01
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
5.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
6.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
6.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
0.000000000000000000e+00,0.000000000000000000e+00,7.630417721518986696e+01
5.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
5.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
6.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
6.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
0.000000000000000000e+00,0.000000000000000000e+00,7.630417721518986696e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
5.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
1.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
6.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.630417721518986696e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
6.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
5.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
5.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
5.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
5.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
7.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
5.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
5.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.408409090909090935e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.089323839662447142e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
4.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
6.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
3.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.186758160237388893e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.251403124999999932e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.729147959183673322e+01
