iter	Passed	Remaining
0	3	335
1	5	283
2	8	271
3	10	260
4	13	252
5	15	247
6	18	244
7	20	240
8	23	236
9	25	232
10	28	228
11	30	225
12	33	222
13	35	218
14	38	217
15	40	214
16	43	212
17	45	209
18	48	206
19	50	202
20	53	200
21	55	195
22	57	192
23	59	189
24	62	186
25	64	183
26	66	180
27	69	177
28	71	175
29	73	172
30	76	169
31	78	166
32	80	164
33	83	161
34	85	158
35	88	156
36	90	154
37	93	151
38	95	149
39	97	146
40	100	144
41	102	141
42	105	139
43	107	136
44	110	134
45	112	132
46	114	129
47	117	127
48	119	124
49	122	122
50	124	119
51	127	117
52	129	115
53	132	112
54	134	110
55	137	107
56	139	105
57	142	103
58	145	100
59	147	98
60	150	95
61	152	93
62	154	91
63	157	88
64	160	86
65	162	83
66	165	81
67	167	78
68	170	76
69	172	73
70	174	71
71	177	68
72	179	66
73	182	63
74	184	61
75	186	59
76	189	56
77	191	54
78	194	51
79	196	49
80	198	46
81	201	44
82	203	41
83	206	39
84	208	36
85	210	34
86	213	31
87	215	29
88	218	26
89	220	24
90	223	22
91	225	19
92	227	17
93	230	14
94	232	12
95	235	9
96	237	7
97	240	4
98	242	2
99	244	0
