iter	RMSE
0	4525.092282
1	4200.713934
2	4017.922535
3	3921.058321
4	3814.361084
5	3748.744401
6	3715.496642
7	3694.777135
8	3682.473314
9	3649.767158
10	3611.087324
11	3587.366267
12	3572.966262
13	3566.419272
14	3559.85362
15	3555.25404
16	3548.534053
17	3542.447635
18	3537.39705
19	3532.587385
20	3530.035215
21	3528.550873
22	3518.29411
23	3510.690242
24	3503.866149
25	3498.830608
26	3497.697932
27	3495.084177
28	3492.968568
29	3488.146775
30	3485.699285
31	3482.246301
32	3481.400223
33	3479.081232
34	3476.864647
35	3474.245395
36	3473.943754
37	3468.440627
38	3465.474657
39	3462.301773
40	3459.506132
41	3457.291201
42	3455.886308
43	3453.792755
44	3451.433589
45	3449.496636
46	3447.0945
47	3445.923585
48	3443.78462
49	3440.568326
50	3436.773958
51	3435.678853
52	3432.522347
53	3430.832079
54	3429.158306
55	3427.241719
56	3424.944843
57	3422.409971
58	3420.198009
59	3416.902172
60	3414.576338
61	3411.257507
62	3410.04779
63	3406.557767
64	3404.804418
65	3401.283749
66	3398.893627
67	3397.850916
68	3396.963145
69	3396.19718
70	3394.140742
71	3392.501121
72	3391.003641
73	3388.443668
74	3385.920338
75	3384.997523
76	3381.562242
77	3380.137642
78	3378.749502
79	3376.576855
80	3376.329902
81	3373.502027
82	3371.037144
83	3369.144047
84	3367.837696
85	3366.506333
86	3366.298174
87	3363.999539
88	3362.721418
89	3360.475867
90	3358.269318
91	3357.466152
92	3357.080002
93	3353.817018
94	3352.98862
95	3352.317785
96	3351.514951
97	3349.935091
98	3348.817161
99	3346.434616
