iter	Passed	Remaining
0	2	260
1	4	208
2	5	188
3	7	179
4	9	172
5	10	168
6	12	164
7	13	160
8	15	157
9	17	153
10	18	150
11	20	149
12	22	147
13	23	145
14	25	143
15	26	141
16	28	139
17	30	137
18	31	135
19	33	133
20	34	130
21	36	128
22	38	127
23	39	126
24	41	124
25	43	123
26	44	121
27	46	119
28	48	117
29	49	115
30	51	114
31	52	112
32	54	110
33	55	108
34	57	106
35	59	104
36	60	103
37	62	101
38	63	99
39	65	98
40	67	96
41	69	95
42	70	93
43	72	92
44	74	91
45	76	89
46	77	87
47	79	86
48	81	84
49	82	82
50	84	81
51	85	79
52	87	77
53	89	76
54	90	74
55	92	72
56	94	71
57	95	69
58	97	67
59	98	65
60	100	64
61	102	62
62	103	60
63	105	59
64	106	57
65	108	55
66	110	54
67	111	52
68	113	50
69	115	49
70	116	47
71	118	46
72	120	44
73	121	42
74	123	41
75	125	39
76	126	37
77	128	36
78	129	34
79	131	32
80	132	31
81	134	29
82	136	27
83	137	26
84	139	24
85	141	22
86	142	21
87	144	19
88	145	18
89	147	16
90	149	14
91	150	13
92	152	11
93	153	9
94	155	8
95	157	6
96	158	4
97	160	3
98	161	1
99	163	0
