iter	Passed	Remaining
0	2	283
1	4	230
2	6	211
3	8	200
4	10	197
5	12	193
6	14	190
7	16	186
8	18	183
9	20	181
10	22	178
11	23	174
12	25	171
13	27	168
14	29	166
15	31	163
16	32	160
17	34	158
18	36	155
19	38	153
20	40	151
21	42	149
22	43	147
23	45	144
24	47	142
25	49	140
26	51	138
27	52	135
28	54	133
29	56	132
30	58	130
31	60	128
32	62	127
33	64	125
34	66	123
35	68	121
36	70	119
37	72	117
38	74	115
39	76	114
40	77	112
41	79	109
42	81	107
43	83	105
44	85	103
45	86	102
46	88	100
47	90	98
48	92	96
49	94	94
50	95	92
51	97	90
52	99	88
53	101	86
54	103	84
55	104	82
56	106	80
57	108	78
58	110	76
59	112	74
60	113	72
61	115	70
62	117	68
63	119	67
64	121	65
65	122	63
66	124	61
67	126	59
68	128	57
69	130	55
70	131	53
71	133	52
72	135	50
73	137	48
74	139	46
75	140	44
76	142	42
77	144	40
78	146	38
79	148	37
80	149	35
81	151	33
82	153	31
83	155	29
84	157	27
85	159	25
86	161	24
87	163	22
88	165	20
89	167	18
90	169	16
91	171	14
92	173	13
93	175	11
94	177	9
95	179	7
96	181	5
