iter	RMSE
0	0.8161385634
1	0.8018985702
2	0.7914833611
3	0.7744112456
4	0.7639824626
5	0.7496811637
6	0.7399095356
7	0.7308021282
8	0.7233378562
9	0.7174544242
10	0.7149869505
11	0.709119721
12	0.7017580844
13	0.6928523056
14	0.6838124747
15	0.6812552968
16	0.6751386783
17	0.6710471978
18	0.6674124683
19	0.6651034671
20	0.6619837051
21	0.6574868627
22	0.6532816474
23	0.6515404616
24	0.6433012497
25	0.6402187408
26	0.6381506307
27	0.6328339709
28	0.6303684269
29	0.6279581694
30	0.6264245602
31	0.6206057767
32	0.6167918035
33	0.6154030874
34	0.6138021985
35	0.609376548
36	0.6088727424
37	0.6083188715
38	0.6044933836
39	0.6023711138
40	0.6007057436
41	0.5990310193
42	0.5935112745
43	0.5867077367
44	0.5808601417
45	0.5787206385
46	0.5755830515
