iter	Passed	Remaining
0	7	767
1	14	732
2	21	696
3	28	672
4	35	668
5	43	679
6	49	655
7	55	643
8	62	628
9	68	614
10	74	606
11	81	599
12	87	587
13	94	578
14	96	546
15	102	539
16	108	532
17	115	524
18	121	518
19	127	511
20	133	503
21	137	489
22	144	483
23	151	478
24	157	471
25	163	464
26	169	457
27	175	451
28	181	444
29	184	430
30	190	423
31	196	417
32	202	411
33	209	405
34	215	399
35	221	393
36	228	388
37	234	382
38	240	376
39	247	371
40	252	363
41	259	357
42	266	353
43	273	347
44	280	342
45	287	337
46	293	331
47	296	320
48	302	315
49	309	309
50	316	304
51	317	293
52	321	284
53	328	280
54	330	270
55	337	264
56	340	256
57	347	251
58	351	244
59	358	238
60	364	233
61	371	227
62	378	222
63	380	214
64	387	208
65	394	203
66	401	197
67	404	190
68	410	184
69	418	179
70	424	173
71	431	167
72	438	162
73	444	156
74	451	150
75	458	144
76	465	138
77	472	133
78	478	127
79	485	121
80	492	115
81	499	109
82	505	103
83	512	97
84	518	91
85	525	85
86	532	79
87	538	73
88	545	67
89	552	61
90	558	55
91	565	49
92	572	43
93	579	36
94	585	30
95	592	24
96	599	18
97	606	12
98	612	6
99	618	0
