iter	RMSE
0	26336.88613
1	25291.23886
2	24290.04208
3	23296.50569
4	22361.05246
5	21477.58155
6	20628.89364
7	19814.18442
8	19031.54193
9	18253.53037
10	17507.51506
11	16816.65711
12	16153.04335
13	15493.87422
14	14882.79553
15	14294.11128
16	13730.84592
17	13190.14909
18	12669.89073
19	12171.41669
20	11689.33594
21	11213.57588
22	10757.45902
23	10335.19863
24	9915.401344
25	9512.932151
26	9140.438804
27	8777.021276
28	8433.978609
29	8103.831235
30	7787.190798
31	7478.815695
32	7177.647316
33	6898.79677
34	6624.098193
35	6366.790569
36	6119.135632
37	5874.520685
38	5647.980115
39	5430.895862
40	5222.31622
41	5022.509007
42	4824.22703
43	4640.749263
44	4464.847669
45	4296.190286
46	4133.419139
47	3977.94574
48	3824.238701
49	3677.200024
50	3541.399674
51	3410.079448
52	3285.61315
53	3164.210945
54	3050.230896
55	2939.12594
56	2834.443346
57	2733.048865
58	2637.820115
59	2546.84805
60	2459.659598
61	2376.652004
62	2296.454879
63	2220.887797
64	2148.834158
65	2080.17934
66	2014.690323
67	1952.273007
68	1892.904086
69	1836.010735
70	1782.317102
71	1731.029335
72	1682.598808
73	1636.54675
74	1592.847639
75	1551.434349
76	1511.745558
77	1474.723539
78	1439.744314
79	1405.574647
80	1374.421485
81	1344.878641
82	1317.033398
83	1291.0209
84	1266.45039
85	1242.675904
86	1221.125012
87	1200.698044
88	1180.137829
89	1162.213433
90	1144.812819
91	1127.364553
92	1112.62663
93	1097.342149
94	1084.541513
95	1072.171203
96	1060.270288
97	1049.705122
98	1039.931689
99	1030.746239
