iter	Passed	Remaining
0	0	54
1	0	42
2	1	36
3	1	33
4	1	32
5	2	31
6	2	31
7	2	29
8	2	28
9	3	28
10	3	27
11	3	27
12	4	27
13	4	26
14	4	26
15	4	25
16	5	24
17	5	24
18	5	24
19	5	23
20	6	23
21	6	22
22	6	22
23	6	21
24	7	21
25	7	20
26	7	20
27	7	20
28	8	19
29	8	19
30	8	18
31	8	18
32	8	18
33	9	17
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	15
40	10	15
41	11	15
42	11	15
43	11	14
44	11	14
45	12	14
46	12	14
47	12	13
48	13	13
49	13	13
50	14	13
51	14	13
52	15	13
53	15	13
54	15	12
55	16	12
56	16	12
57	16	12
58	17	11
59	17	11
60	17	11
61	18	11
62	18	10
63	18	10
64	19	10
65	19	9
66	19	9
67	19	9
68	20	9
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	21	6
76	22	6
77	22	6
78	22	6
79	22	5
80	23	5
81	23	5
82	23	4
83	24	4
84	24	4
85	24	4
86	24	3
87	25	3
88	25	3
89	25	2
90	25	2
91	26	2
92	26	1
93	26	1
94	27	1
95	27	1
96	27	0
97	28	0
98	28	0
99	28	0
