iter	RMSE
0	2296.525495
1	2193.356967
2	2083.250504
3	2007.582996
4	1929.084393
5	1859.38671
6	1796.112181
7	1747.977581
8	1707.742458
9	1672.230036
10	1640.705145
11	1604.830949
12	1583.939275
13	1558.491222
14	1538.575471
15	1520.878504
16	1502.769065
17	1491.949766
18	1482.344546
19	1472.658979
20	1462.851284
21	1455.736094
22	1448.934644
23	1443.790735
24	1436.770089
25	1429.347615
26	1424.699968
27	1409.602711
28	1405.56641
29	1392.939278
30	1389.496304
31	1376.04878
32	1362.608757
33	1352.74297
34	1341.171579
35	1336.55575
36	1333.970986
37	1323.723862
38	1317.753353
39	1313.117696
40	1308.928639
41	1298.367522
42	1295.039479
43	1282.788106
44	1273.201841
45	1269.648593
46	1260.06873
47	1258.436968
48	1254.478777
49	1251.427486
50	1247.526532
51	1241.789084
52	1237.211464
53	1233.927732
54	1227.686616
55	1223.779867
56	1220.715291
57	1210.065732
58	1206.607554
59	1204.75206
