Namespace(batch_size=128, cat_dims=None, cat_idx=[3], config='config/boston.yml', data_parallel=False, dataset='Boston', direction='minimize', dropna_idx=None, early_stopping_rounds=20, epochs=1000, gpu_ids=[0, 1], logging_period=100, model_name='VIME', n_trials=10, num_classes=1, num_features=13, num_splits=5, objective='regression', one_hot_encode=True, optimize_hyperparameters=True, scale=True, seed=221, shuffle=True, target_encode=False, use_gpu=True, val_batch_size=256)
Start hyperparameter optimization
Loading dataset Boston...
Dataset loaded!
(506, 13)
Scaling the data...
args.num_features: 14
New Shape: (506, 14)
Using an existing study with name 'VIME_Boston' instead of creating a new one.
In get_device
On Device: cuda
In get_device
On Device: cuda
Fitted encoder
Epoch 0, Val Loss: 546.82648
Epoch 1, Val Loss: 543.66449
Epoch 2, Val Loss: 539.96295
Epoch 3, Val Loss: 534.04913
Epoch 4, Val Loss: 523.15649
Epoch 5, Val Loss: 502.37579
Epoch 6, Val Loss: 464.08014
Epoch 7, Val Loss: 397.46835
Epoch 8, Val Loss: 293.28217
Epoch 9, Val Loss: 165.39908
Epoch 10, Val Loss: 95.60493
Epoch 11, Val Loss: 102.47492
Epoch 12, Val Loss: 71.83585
Epoch 13, Val Loss: 76.88049
Epoch 14, Val Loss: 90.12010
Epoch 15, Val Loss: 83.42119
Epoch 16, Val Loss: 63.85479
Epoch 17, Val Loss: 53.77392
Epoch 18, Val Loss: 53.30854
Epoch 19, Val Loss: 51.11255
Epoch 20, Val Loss: 51.63240
Epoch 21, Val Loss: 52.63650
Epoch 22, Val Loss: 47.62112
Epoch 23, Val Loss: 42.91302
Epoch 24, Val Loss: 41.68886
Epoch 25, Val Loss: 41.91010
Epoch 26, Val Loss: 42.30188
Epoch 27, Val Loss: 42.73326
Epoch 28, Val Loss: 41.29622
Epoch 29, Val Loss: 39.10253
Epoch 30, Val Loss: 37.76871
Epoch 31, Val Loss: 36.92964
Epoch 32, Val Loss: 36.15985
Epoch 33, Val Loss: 35.86871
Epoch 34, Val Loss: 35.88226
Epoch 35, Val Loss: 35.60908
Epoch 36, Val Loss: 34.73998
Epoch 37, Val Loss: 34.90067
Epoch 38, Val Loss: 35.03616
Epoch 39, Val Loss: 34.21632
Epoch 40, Val Loss: 34.39582
Epoch 41, Val Loss: 34.22296
Epoch 42, Val Loss: 33.33512
Epoch 43, Val Loss: 32.51965
Epoch 44, Val Loss: 33.41740
Epoch 45, Val Loss: 33.18509
Epoch 46, Val Loss: 32.60904
Epoch 47, Val Loss: 31.39078
Epoch 48, Val Loss: 31.65748
Epoch 49, Val Loss: 32.86489
Epoch 50, Val Loss: 32.92543
Epoch 51, Val Loss: 32.41300
Epoch 52, Val Loss: 31.68582
Epoch 53, Val Loss: 31.02475
Epoch 54, Val Loss: 30.67445
Epoch 55, Val Loss: 31.02324
Epoch 56, Val Loss: 32.02520
Epoch 57, Val Loss: 31.32965
Epoch 58, Val Loss: 30.45323
Epoch 59, Val Loss: 30.72161
Epoch 60, Val Loss: 31.65222
Epoch 61, Val Loss: 30.98454
Epoch 62, Val Loss: 29.39396
Epoch 63, Val Loss: 29.74072
Epoch 64, Val Loss: 29.91655
Epoch 65, Val Loss: 29.73196
Epoch 66, Val Loss: 30.59102
Epoch 67, Val Loss: 31.00026
Epoch 68, Val Loss: 29.26806
Epoch 69, Val Loss: 28.68283
Epoch 70, Val Loss: 30.21445
Epoch 71, Val Loss: 29.67671
Epoch 72, Val Loss: 28.56742
Epoch 73, Val Loss: 28.41597
Epoch 74, Val Loss: 29.12682
Epoch 75, Val Loss: 29.17784
Epoch 76, Val Loss: 29.24784
Epoch 77, Val Loss: 29.27823
Epoch 78, Val Loss: 29.06053
Epoch 79, Val Loss: 28.79752
Epoch 80, Val Loss: 28.77328
Epoch 81, Val Loss: 29.97029
Epoch 82, Val Loss: 28.07679
