Dataset: Abalone , Bins: sturges, strategy: quantile, Original Bins: 12, Found Bin Count: 8.0
Dataset: Abalone , Bins: freedman, strategy: quantile, Original Bins: 60, Found Bin Count: 15.0
Dataset: Abalone , Bins: sturges, strategy: kmeans, Original Bins: 12, Found Bin Count: 11.0
Dataset: Abalone , Bins: freedman, strategy: kmeans, Original Bins: 60, Found Bin Count: 24.0
Dataset: Abalone , Bins: sturges, strategy: uniform, Original Bins: 12, Found Bin Count: 11.0
Dataset: Abalone , Bins: freedman, strategy: uniform, Original Bins: 60, Found Bin Count: 59.0
Dataset: Allstate_Claims , Bins: sturges, strategy: quantile, Original Bins: 17, Found Bin Count: 16.0
Dataset: Allstate_Claims , Bins: freedman, strategy: quantile, Original Bins: 1031, Found Bin Count: 1030.0
Dataset: Allstate_Claims , Bins: sturges, strategy: kmeans, Original Bins: 17, Found Bin Count: 16.0
Dataset: Allstate_Claims , Bins: freedman, strategy: kmeans, Original Bins: 1031, Found Bin Count: 1030.0
Dataset: Allstate_Claims , Bins: sturges, strategy: uniform, Original Bins: 17, Found Bin Count: 16.0
Dataset: Allstate_Claims , Bins: freedman, strategy: uniform, Original Bins: 1031, Found Bin Count: 1030.0
Dataset: Black_Friday , Bins: sturges, strategy: quantile, Original Bins: 17, Found Bin Count: 16.0
Dataset: Black_Friday , Bins: freedman, strategy: quantile, Original Bins: 67, Found Bin Count: 66.0
Dataset: Black_Friday , Bins: sturges, strategy: kmeans, Original Bins: 17, Found Bin Count: 16.0
Dataset: Black_Friday , Bins: freedman, strategy: kmeans, Original Bins: 67, Found Bin Count: 66.0
Dataset: Black_Friday , Bins: sturges, strategy: uniform, Original Bins: 17, Found Bin Count: 16.0
Dataset: Black_Friday , Bins: freedman, strategy: uniform, Original Bins: 67, Found Bin Count: 66.0
Dataset: Boston , Bins: sturges, strategy: quantile, Original Bins: 8, Found Bin Count: 7.0
Dataset: Boston , Bins: freedman, strategy: quantile, Original Bins: 20, Found Bin Count: 19.0
Dataset: Boston , Bins: sturges, strategy: kmeans, Original Bins: 8, Found Bin Count: 7.0
Dataset: Boston , Bins: freedman, strategy: kmeans, Original Bins: 20, Found Bin Count: 19.0
Dataset: Boston , Bins: sturges, strategy: uniform, Original Bins: 8, Found Bin Count: 7.0
Dataset: Boston , Bins: freedman, strategy: uniform, Original Bins: 20, Found Bin Count: 19.0
Dataset: Brazillian_Houses , Bins: sturges, strategy: quantile, Original Bins: 13, Found Bin Count: 12.0
Dataset: Brazillian_Houses , Bins: freedman, strategy: quantile, Original Bins: 2074, Found Bin Count: 2036.0
Dataset: Brazillian_Houses , Bins: sturges, strategy: kmeans, Original Bins: 13, Found Bin Count: 12.0
Dataset: Brazillian_Houses , Bins: freedman, strategy: kmeans, Original Bins: 2074, Found Bin Count: 2073.0
Dataset: Brazillian_Houses , Bins: sturges, strategy: uniform, Original Bins: 13, Found Bin Count: 12.0
Dataset: Brazillian_Houses , Bins: freedman, strategy: uniform, Original Bins: 2074, Found Bin Count: 2073.0
Dataset: Diamonds , Bins: sturges, strategy: quantile, Original Bins: 15, Found Bin Count: 14.0
Dataset: Diamonds , Bins: freedman, strategy: quantile, Original Bins: 63, Found Bin Count: 62.0
Dataset: Diamonds , Bins: sturges, strategy: kmeans, Original Bins: 15, Found Bin Count: 14.0
Dataset: Diamonds , Bins: freedman, strategy: kmeans, Original Bins: 63, Found Bin Count: 62.0
Dataset: Diamonds , Bins: sturges, strategy: uniform, Original Bins: 15, Found Bin Count: 14.0
Dataset: Diamonds , Bins: freedman, strategy: uniform, Original Bins: 63, Found Bin Count: 62.0
Dataset: House_Prices_Nominal , Bins: sturges, strategy: quantile, Original Bins: 10, Found Bin Count: 9.0
Dataset: House_Prices_Nominal , Bins: freedman, strategy: quantile, Original Bins: 37, Found Bin Count: 36.0
Dataset: House_Prices_Nominal , Bins: sturges, strategy: kmeans, Original Bins: 10, Found Bin Count: 9.0
Dataset: House_Prices_Nominal , Bins: freedman, strategy: kmeans, Original Bins: 37, Found Bin Count: 36.0
Dataset: House_Prices_Nominal , Bins: sturges, strategy: uniform, Original Bins: 10, Found Bin Count: 9.0
Dataset: House_Prices_Nominal , Bins: freedman, strategy: uniform, Original Bins: 37, Found Bin Count: 36.0
Dataset: House_Sales , Bins: sturges, strategy: quantile, Original Bins: 14, Found Bin Count: 13.0
Dataset: House_Sales , Bins: freedman, strategy: quantile, Original Bins: 241, Found Bin Count: 229.0
Dataset: House_Sales , Bins: sturges, strategy: kmeans, Original Bins: 14, Found Bin Count: 13.0
Dataset: House_Sales , Bins: freedman, strategy: kmeans, Original Bins: 241, Found Bin Count: 240.0
Dataset: House_Sales , Bins: sturges, strategy: uniform, Original Bins: 14, Found Bin Count: 13.0
Dataset: House_Sales , Bins: freedman, strategy: uniform, Original Bins: 241, Found Bin Count: 240.0
Dataset: Mercedes_Benz , Bins: sturges, strategy: quantile, Original Bins: 12, Found Bin Count: 11.0
Dataset: Mercedes_Benz , Bins: freedman, strategy: quantile, Original Bins: 34, Found Bin Count: 33.0
Dataset: Mercedes_Benz , Bins: sturges, strategy: kmeans, Original Bins: 12, Found Bin Count: 11.0
Dataset: Mercedes_Benz , Bins: freedman, strategy: kmeans, Original Bins: 34, Found Bin Count: 33.0
Dataset: Mercedes_Benz , Bins: sturges, strategy: uniform, Original Bins: 12, Found Bin Count: 11.0
Dataset: Mercedes_Benz , Bins: freedman, strategy: uniform, Original Bins: 34, Found Bin Count: 33.0
