iter	Passed	Remaining
0	6	653
1	11	574
2	16	542
3	21	525
4	26	511
5	32	502
6	37	492
7	42	484
8	47	476
9	52	471
10	57	467
11	63	464
12	68	460
13	74	456
14	79	450
15	84	444
16	89	437
17	94	430
18	99	424
19	104	417
20	109	411
21	114	404
22	119	398
23	124	393
24	128	386
25	133	380
26	138	374
27	143	369
28	148	363
29	153	357
30	158	352
31	163	346
32	168	341
33	172	335
34	177	330
35	182	324
36	187	319
37	192	314
38	197	308
39	202	303
40	207	298
41	211	292
42	216	286
43	220	280
44	226	276
45	231	271
46	235	265
47	239	259
48	244	254
49	248	248
50	253	243
51	257	237
52	262	232
53	266	226
54	270	221
55	275	216
56	279	210
57	283	205
58	288	200
59	292	195
60	296	189
61	301	184
62	305	179
63	310	174
64	314	169
65	318	164
66	323	159
67	327	154
68	332	149
69	336	144
70	341	139
71	345	134
72	349	129
73	354	124
74	358	119
75	362	114
76	367	109
77	371	104
78	376	99
79	380	95
80	384	90
81	389	85
82	393	80
83	397	75
84	402	70
85	406	66
86	411	61
87	415	56
88	419	51
89	423	47
90	428	42
91	432	37
92	436	32
93	441	28
94	445	23
95	449	18
96	454	14
97	458	9
98	462	4
99	467	0
