iter	Passed	Remaining
0	3	317
1	4	217
2	5	177
3	6	159
4	7	147
5	8	138
6	9	131
7	11	127
8	12	123
9	13	119
10	14	115
11	15	112
12	16	109
13	17	107
14	18	104
15	20	105
16	22	107
17	23	106
18	24	104
19	25	102
20	26	100
21	27	98
22	28	96
23	29	94
24	31	93
25	32	91
26	33	89
27	34	87
28	35	86
29	36	84
30	37	83
31	38	82
32	39	80
33	40	79
34	41	77
35	42	76
36	44	74
37	45	73
38	46	72
39	47	70
40	48	69
41	49	68
42	50	67
43	51	65
44	52	64
45	53	63
46	55	62
47	56	61
48	57	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	69	46
60	71	45
61	72	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
