iter	RMSE
0	0.9875100113
1	0.975211198
2	0.9630462049
3	0.9512739668
4	0.9394434627
5	0.9277918121
6	0.9163412874
7	0.904910796
8	0.8937585168
9	0.8827634456
10	0.8718612389
11	0.8610408916
12	0.8503528172
13	0.8399934322
14	0.8295646624
15	0.8192456024
16	0.8090698304
17	0.7990241599
18	0.7890507366
19	0.7791858018
20	0.769526469
21	0.759958298
22	0.7505391138
23	0.7411949332
24	0.7319916442
25	0.7229030101
26	0.7138757735
27	0.7049842012
28	0.6963472196
29	0.6878937937
30	0.6793112519
31	0.6710507899
32	0.6627421521
33	0.6545077488
34	0.6464502802
35	0.6384098992
36	0.630535789
37	0.6229301913
38	0.6152303562
39	0.607601272
40	0.6000659195
41	0.592586376
42	0.5853087918
43	0.578125
44	0.5709328058
45	0.5639244558
46	0.5569735019
47	0.5500439706
48	0.5432424046
49	0.5365717125
50	0.5299723627
51	0.5234085989
52	0.5169160346
53	0.5105469657
54	0.5042204435
55	0.4980499224
56	0.4919503525
57	0.485853421
58	0.4798576203
59	0.4739784469
60	0.4681143101
61	0.4624244389
62	0.4566974792
63	0.4511170844
64	0.445542389
65	0.4400649154
66	0.4346356749
67	0.4293246872
68	0.4240124048
69	0.4187623212
70	0.4136787255
71	0.4085559658
72	0.4036607956
73	0.3986356101
74	0.3937661884
75	0.3889183925
76	0.3841351436
77	0.3794343491
78	0.3747385667
79	0.3701151318
80	0.3655854808
81	0.3610889158
82	0.3566518983
83	0.3522431332
84	0.3478908854
85	0.3436778704
86	0.339549122
87	0.3353722378
88	0.3312382992
89	0.3271437169
90	0.3231834574
91	0.3192003178
92	0.3153183179
93	0.3114351832
94	0.3076573929
95	0.3038500973
96	0.3002034052
97	0.2965623708
98	0.2929925304
99	0.2893847506
