iter	Passed	Remaining
0	4	407
1	7	354
2	10	334
3	12	294
4	15	297
5	18	295
6	22	293
7	25	290
8	28	287
9	31	284
10	34	281
11	37	278
12	40	274
13	43	264
14	46	261
15	49	258
16	52	255
17	55	252
18	58	250
19	61	247
20	65	244
21	68	241
22	71	238
23	74	235
24	77	233
25	81	230
26	84	227
27	87	224
28	90	220
29	92	215
30	95	212
31	97	206
32	100	203
33	103	200
34	106	197
35	109	194
36	112	191
37	114	186
38	117	183
39	120	181
40	123	178
41	127	175
42	129	171
43	131	167
44	134	164
45	137	161
46	140	158
47	143	155
48	146	152
49	150	150
50	153	147
51	156	144
52	159	141
53	162	138
54	165	135
55	168	132
56	170	128
57	174	126
58	177	123
59	179	119
60	183	117
61	186	114
62	189	111
63	192	108
64	195	105
65	198	102
66	202	99
67	205	96
68	208	93
69	211	90
70	214	87
71	217	84
72	219	81
73	223	78
74	226	75
75	229	72
76	232	69
77	235	66
78	238	63
79	241	60
80	245	57
81	248	54
82	251	51
83	254	48
84	257	45
85	260	42
86	262	39
87	266	36
88	269	33
89	272	30
90	274	27
91	277	24
92	280	21
93	283	18
94	286	15
95	289	12
96	292	9
97	295	6
98	298	3
99	301	0
