iter	RMSE
0	0.839724926
1	0.7271244408
2	0.6401485037
3	0.5620560167
4	0.5091071048
5	0.4664140698
6	0.4287060473
7	0.3998493279
8	0.3760680496
9	0.3614500855
10	0.3461712539
11	0.33672402
12	0.3251865881
13	0.3165751898
14	0.3104353493
15	0.3054318328
16	0.3013662979
17	0.2977054724
18	0.2943246615
19	0.2920087058
20	0.2891665315
21	0.2869060589
22	0.2836068037
23	0.2820407401
24	0.2797802213
25	0.277510326
26	0.275303727
27	0.2735826561
28	0.2710238023
29	0.2689947641
30	0.267243907
31	0.265610859
32	0.2639223736
33	0.2623170641
34	0.2603155675
35	0.2581366504
36	0.2567834671
37	0.2557179482
38	0.2542870461
39	0.25291301
40	0.2515710988
41	0.2505893457
42	0.2498338632
43	0.2480144769
44	0.2469543963
45	0.2455690603
46	0.2443422425
47	0.2431979926
48	0.2417449947
49	0.2402330892
50	0.238772706
51	0.2380040282
52	0.2369597567
53	0.2346881174
54	0.2335835572
55	0.2321409665
56	0.2310409874
57	0.2302774552
58	0.2296024832
59	0.2286586017
60	0.2277497848
61	0.2266704099
62	0.2259149706
63	0.225124345
64	0.2243149441
65	0.2236527381
66	0.2231979703
67	0.2223218372
68	0.2213285122
69	0.2205402557
70	0.2192574197
71	0.2184155348
72	0.21766204
73	0.2170577473
74	0.2160346382
75	0.2156508651
76	0.2148067106
77	0.2139726094
78	0.2129892406
79	0.2121543036
80	0.2115712356
81	0.2108974111
82	0.2103636657
83	0.2097008494
84	0.2087937682
85	0.2078545174
86	0.2068426305
87	0.2061516932
88	0.2051952639
89	0.2048080233
90	0.2037954843
91	0.203349326
92	0.2025695705
93	0.2012669434
94	0.2003602515
95	0.1996194792
96	0.1989776895
97	0.1983882096
98	0.1979096508
99	0.1973724054
