iter	Passed	Remaining
0	3	334
1	5	273
2	7	251
3	9	238
4	12	230
5	14	224
6	16	218
7	18	212
8	20	207
9	22	204
10	24	202
11	27	198
12	29	195
13	31	193
14	33	190
15	35	188
16	37	185
17	40	182
18	41	178
19	43	174
20	45	171
21	47	169
22	49	167
23	52	164
24	54	162
25	56	160
26	58	158
27	60	156
28	62	153
29	64	151
30	67	149
31	69	147
32	71	145
33	73	143
34	75	141
35	78	138
36	80	136
37	82	134
38	84	132
39	86	129
40	88	127
41	90	125
42	92	123
43	95	120
44	97	118
45	99	116
46	101	114
47	103	112
48	105	110
49	107	107
50	110	105
51	112	103
52	114	101
53	116	99
54	118	97
55	120	95
56	122	92
57	125	90
58	127	88
59	129	86
60	131	84
61	133	81
62	135	79
63	138	77
64	140	75
65	142	73
66	144	71
67	146	69
68	148	66
69	150	64
70	153	62
71	155	60
72	157	58
73	159	56
74	161	53
75	163	51
76	165	49
77	167	47
78	170	45
79	172	43
80	174	40
81	176	38
82	178	36
83	180	34
84	183	32
85	185	30
86	187	27
87	189	25
88	191	23
89	193	21
90	195	19
91	198	17
92	200	15
93	202	12
94	204	10
95	206	8
96	208	6
97	210	4
98	212	2
99	214	0
